date,temp_mean_c,temp_max_c,temp_min_c,sunshine_hours,wind_speed_ms,wind_gust_ms,precip_mm,humidity_mean_pct,pressure_max_hpa,pressure_min_hpa,n_stations
2018-06-15,20.920028109627545,27.7964160224877,14.029655657062545,11.050948699929725,2.727649402390437,8.739362549800793,0.1492877492877493,52.63211223694464,973.6829306313327,970.6756819953231,16
2018-06-16,21.624174279690795,28.005059732958536,15.297610681658467,11.51728742094167,3.051872509960159,8.649322709163345,0.0,56.24941543257989,975.3544816835541,971.6199532346063,16
2018-06-17,22.267533380182712,28.850035137034432,15.713281799016162,12.36767392832045,3.1560956175298798,8.729721115537846,0.044975404075895994,49.42244738893219,978.534918160561,974.898752922837,16
2018-06-18,22.610681658468025,29.305621925509488,15.907659873506676,11.737456078706957,2.853306772908366,9.47035856573705,0.03724525650035137,47.68589243959469,978.8624318004674,975.8802026500388,16
2018-06-19,22.957484188334504,29.99086437104708,15.939564300773013,12.648910751932537,2.5087649402390437,8.539760956175295,0.007137758743754461,49.39672642244737,978.5012470771627,974.3617303195634,16
2018-06-20,23.86591707659873,30.559803232607166,17.18137737174982,12.532817990161629,2.629721115537848,8.745498007968125,0.004242424242424242,47.79812938425565,976.3882307092751,973.2560405300076,16
2018-06-21,24.29002108222066,30.936612789880535,17.665776528460995,11.642656359803231,2.819043824701194,8.523027888446213,0.05396145610278372,47.38347622759158,976.2915042868275,973.0975058456742,16
2018-06-22,24.69739985945186,31.41876317638791,17.957273366127897,11.706254392129303,3.0587250996015927,9.962948207171316,0.0,46.52065471551052,975.7012470771627,972.436399064692,16
2018-06-23,24.584961349262116,31.003935347856636,18.19943780744905,12.782993675333802,2.965896414342629,9.37458167330677,0.0,50.82618862042088,975.4761496492596,972.3607170693687,16
2018-06-24,24.74813773717498,31.21876317638791,18.27659873506676,12.204286718200983,2.7670119521912344,9.55043824701195,0.0061841180604357,50.86905689789555,974.6971940763834,971.2480904130941,16
2018-06-25,24.831904427266338,30.98973998594518,18.653267744202388,12.006043569922698,2.9353784860557757,9.224780876494023,0.0247364722417428,51.35853468433359,974.4984411535462,971.1626656274354,16
2018-06-26,24.675614898102598,30.70541110330288,18.676950105411102,11.625720309205903,2.723505976095617,9.163824701195217,0.29613492621222764,51.67030397505845,975.2763055339049,972.175993764614,16
2018-06-27,24.224174279690793,30.56914968376669,17.847364722417428,10.602670414617005,3.231235059760955,9.966693227091632,2.6868781542898343,53.71628994544036,975.1272798129384,970.5410756040528,16
2018-06-28,23.886366830639492,29.66816584680253,18.10007027406887,7.809697821503865,3.131938514090521,11.351792828685259,4.019198790627362,60.188620420888526,971.9897116134061,966.535619641465,16
2018-06-29,23.856359803232607,29.288756148981022,18.479409697821502,10.90941672522839,3.029003984063744,9.691235059760954,2.1850533807829184,59.87763055339049,968.8298519095869,965.1454403741232,16
2018-06-30,23.62501756851722,28.79824314827828,18.47456078706957,9.418692902319044,2.8699601593625497,10.320876494023903,2.576948868398994,57.81683554169912,968.1910366328915,964.87529228371,16
2018-07-01,23.417498243148273,29.52269852424455,17.28292340126493,10.842445537596626,3.049163346613545,11.407649402390433,1.579379956741168,57.28371005455961,969.3939984411536,966.0699922057676,16
2018-07-02,23.693815881939564,29.993464511595217,17.378004216444133,10.607589599437807,2.9358565737051783,9.11442231075697,0.3111735769501054,53.8791893998441,973.055728760717,968.6627435697583,16
2018-07-03,23.817709065354883,30.176669009135626,17.44869992972593,11.722347153900209,3.0043027888446208,9.341115537848605,0.0182741116751269,50.37802026500389,974.053546375682,971.1865159781762,16
2018-07-04,23.645326774420237,29.85699226985242,17.42536893886156,11.337957911145752,3.640398406374501,10.701035856573702,1.409205903021785,51.42712392829304,975.0371005455961,970.2952455183164,15
2018-07-05,23.35298664792691,29.355446240337315,17.34223471539002,11.09044170890659,3.1271713147410347,9.599282868525895,0.084328882642305,50.615744349181604,977.5988308651597,973.9936087295399,15
2018-07-06,23.724385101897397,29.790583274771606,17.618552354181308,11.551484431571325,3.379999999999999,9.205976095617526,0.06324666198172874,48.96336710833983,977.7579890880746,974.5526890101322,15
2018-07-07,24.67273366127899,30.51173576950105,18.842445537596625,10.157273366127898,2.804382470119521,8.99864541832669,0.19198875614898098,52.911925175370214,976.7570537802025,973.0647700701479,16
2018-07-08,25.28460997891778,31.87420941672523,18.716584680252986,12.149818971759592,2.500478087649402,9.241274900398404,0.39440765268579836,49.50896336710833,976.518082618862,973.6203429462197,15
2018-07-09,26.341531974701333,33.81264933239635,18.8427266338721,12.222066057624737,2.8027888446215137,9.341115537848607,0.6296556570625439,43.923616523772395,976.4742010911924,972.5791114575213,16
2018-07-10,25.78699929725931,32.85762473647223,18.706254392129303,12.729109341057203,2.6354581673306767,9.98629482071713,0.0,48.14886983632111,975.311223694466,971.3507404520653,15
2018-07-11,24.850035137034432,30.400070274068867,19.29957835558679,9.89648629655657,3.5309163346613537,10.59856573705179,1.7217146872803935,56.8409976617303,973.1709275136399,969.4739672642245,16
2018-07-12,24.74434293745608,30.52810962754743,18.992410400562193,10.084891075193253,2.7341832669322703,9.43219123505976,0.2601420678768745,54.82307092751363,973.9614185502727,970.4778643803584,16
2018-07-13,24.658819395643008,30.367884750527054,18.98742094167252,9.200562192550947,2.9131474103585644,10.539362549800794,0.6717968157695223,55.363211223694464,974.6314107560403,971.8513639906467,16
2018-07-14,25.329304286718198,32.12557976106816,18.48924806746311,12.395361911454671,3.0104382470119515,10.019203187250993,0.17512297962052,46.80202650038971,974.7872174590801,971.605845674201,16
2018-07-15,24.820379479971887,31.625579761068163,17.974982431482783,10.613633169360504,3.3269322709163336,10.914741035856569,1.6763215061549597,47.492595479345276,974.3538581449725,970.2008573655493,16
2018-07-16,24.417709065354885,30.26113843991567,18.576387912860152,10.018552354181306,3.2419920318725097,11.646613545816729,1.1288826423049891,50.04286827747466,975.8575993764614,971.2999220576772,16
