value,datetime,datetime_utc,tz_time,geo_id,geo_name,indicator_id,indicator_name,unit,date
0.191,2020-04-01T00:00:00.000+02:00,2020-03-31T22:00:00Z,2020-03-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-04-01
4.215,2020-04-01T00:00:00.000+02:00,2020-03-31T22:00:00Z,2020-03-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-04-01
0.77,2020-04-01T00:00:00.000+02:00,2020-03-31T22:00:00Z,2020-03-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-04-01
0.191,2020-05-01T00:00:00.000+02:00,2020-04-30T22:00:00Z,2020-04-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-05-01
4.215,2020-05-01T00:00:00.000+02:00,2020-04-30T22:00:00Z,2020-04-30T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-05-01
0.77,2020-05-01T00:00:00.000+02:00,2020-04-30T22:00:00Z,2020-04-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-05-01
0.191,2020-06-01T00:00:00.000+02:00,2020-05-31T22:00:00Z,2020-05-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-06-01
4.215,2020-06-01T00:00:00.000+02:00,2020-05-31T22:00:00Z,2020-05-31T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-06-01
0.77,2020-06-01T00:00:00.000+02:00,2020-05-31T22:00:00Z,2020-05-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-06-01
0.191,2020-07-01T00:00:00.000+02:00,2020-06-30T22:00:00Z,2020-06-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-07-01
4.215,2020-07-01T00:00:00.000+02:00,2020-06-30T22:00:00Z,2020-06-30T22:00:00.000Z,10,País Vasco,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-07-01
0.77,2020-07-01T00:00:00.000+02:00,2020-06-30T22:00:00Z,2020-06-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2020-07-01
